SEXE	AGE	CATEGORIE	NB_ETUDES	EXPERIENCE	ANCIENNETE	SAL_EMBAUCHE	SAL_ACTUEL	VILLE	SATIS_EMPLOI	SATIS_CHEF	SATIS_SALAIRE	SATIS_COLLEGUES	SATIS_CE
1	64	1	8	275	70	10200	15750	PARIS    	non	oui	non	non	oui
1	55	1	8	43	74	10200	15900	PARIS    	non	oui	non	non	oui
1	56	1	8	0	92	9750	16200	LILLE    	oui	non	non	oui	oui
1	60	1	12	0	82	10200	16200	BORDEAUX 	non	non	non	oui	oui
1	62	1	12	180	68	10200	16200	PARIS    	non	oui	oui	oui	oui
1	61	1	12	163	66	10200	16350	PARIS	non	oui	non	non	oui
1	62	1	12	288	84	10200	16500	MARSEILLE	oui	non	non	non	oui
1	63	1	8	412	88	9750	16650	LYON     	non	non	non	oui	oui
1	59	1	8	76	76	10200	16800	PARIS    	non	non	non	non	non
1	61	1	12	124	97	9000	16950	LILLE    	non	non	oui	non	non
1	52	1	12	271	72	10200	16950	LYON     	non	oui	non	oui	oui
1	57	1	8	319	72	10200	16950	LYON     	non	oui	non	non	oui
1	55	1	12	72	85	10200	17100	MARSEILLE	oui	non	non	non	oui
1	52	1	8	0	81	10200	17100	NICE     	non	non	non	non	oui
1	54	1	12	358	82	10200	17250	NICE     	non	oui	non	non	oui
1	47	1	12	116	72	10200	17400	LILLE    	non	oui	non	oui	non
1	58	1	8	390	81	10200	17400	NICE     	oui	oui	non	non	non
1	62	1	8	184	72	10200	17700	NICE     	non	oui	non	non	oui
1	62	1	12	72	86	9750	18150	TOULOUSE 	non	oui	oui	non	oui
1	25	2	12	0	80	10950	18150	LILLE    	oui	oui	non	non	oui
1	51	1	12	228	85	10200	18450	LILLE    	non	non	non	non	non
1	58	1	15	54	90	10500	18750	BORDEAUX 	oui	non	non	non	oui
1	61	1	15	23	96	9000	19200	LILLE    	non	non	non	oui	oui
1	25	2	12	7	83	11100	19200	MARSEILLE	non	oui	non	non	oui
1	48	1	12	180	90	9750	19650	BORDEAUX 	non	oui	non	non	non
1	25	2	12	5	81	10950	19650	PARIS    	oui	oui	non	non	oui
1	25	2	12	102	80	11250	19650	NICE     	oui	oui	non	non	oui
0	45	1	12	229	84	12750	19650	NICE     	oui	oui	non	non	oui
1	56	1	8	11	70	13050	19650	MARSEILLE	non	non	non	non	oui
1	50	1	12	133	69	13950	19650	BORDEAUX 	non	oui	non	non	oui
1	59	1	8	75	83	10200	19800	MARSEILLE	oui	non	non	non	oui
1	52	1	12	8	72	10200	19950	BORDEAUX 	oui	oui	non	oui	non
1	25	1	12	56	80	11250	19950	LYON     	oui	oui	non	non	oui
1	26	2	12	90	92	11250	20100	BORDEAUX 	non	non	non	non	oui
1	62	1	8	24	88	13200	20100	BORDEAUX 	oui	oui	non	non	oui
1	26	1	12	0	83	10950	20400	LILLE    	non	oui	non	oui	oui
1	24	2	12	0	66	11250	20400	LYON     	non	oui	non	non	oui
1	23	2	12	9	69	11250	20400	NICE     	oui	oui	non	non	oui
1	48	2	12	154	73	11250	20550	LILLE    	oui	non	non	non	oui
