GENRE	AGE	TAILLE	MASSE
F	68	0	20
M	74	116	18
M	69	120	23
M	72	121	25
M	73	114	17
M	65	115	20
M	66	110	17
F	63	0	15
M	74	128	34
M	70	118	24
F	68	0	18
M	70	117	20
F	62	0	17
M	75	125	21
F	70	0	24
M	76	112	18
F	76	0	19
F	75	0	23
M	75	114	19
F	75	0	20
F	67	0	22
M	71	117	20
M	67	114	19
M	70	115	22
F	49	0	20
F	66	0	18
F	68	0	23
F	73	0	22
F	67	0	19
M	74	111	18
F	74	0	24
F	73	0	21
F	70	0	21
F	71	0	19
M	67	113	21
M	76	118	21
F	75	0	21
F	68	0	17
F	70	0	15
F	68	0	20
F	68	0	20
F	69	0	23
F	67	0	19
M	69	109	18
M	72	112	19
M	74	122	24
M	67	109	15
M	70	112	18
M	66	108	16
M	74	108	17
M	60	112	20
F	61	0	15
F	74	0	20
F	65	0	19
M	70	112	19
M	64	110	18
F	66	0	19
F	62	0	19
F	69	0	18
F	62	0	20
F	67	0	17
F	64	0	17
M	69	107	17
M	72	121	22
M	68	109	19
M	71	114	21
F	68	0	17
M	64	115	22
M	65	106	18
F	73	0	19
M	65	111	19
M	65	108	18
F	68	0	18
F	72	0	22
F	66	0	25
M	67	112	22
M	72	117	22
F	66	0	19
F	69	0	19
M	65	112	21
F	68	0	21
F	61	0	18
M	69	114	19
F	70	0	16
M	68	108	16
M	68	110	21
F	67	0	19
M	67	111	20
F	69	0	24
F	72	0	20
M	66	106	19
M	71	107	18
M	72	118	25
F	70	0	21
F	68	0	17
M	70	110	21
F	72	0	18
F	67	0	20
M	61	105	20
M	64	109	18
M	61	107	17
F	63	0	17
F	63	0	19
F	62	0	20
F	63	0	21
F	62	0	22
F	63	0	22
M	70	113	20
M	70	111	19
M	68	115	21
F	69	0	20
F	66	0	19
F	72	0	22
F	73	0	20
F	68	0	26
F	70	0	19
F	70	0	22
F	65	0	16
F	64	0	22
F	67	0	18
F	67	0	21
M	71	109	19
M	71	122	29
M	68	114	21
M	68	120	25
M	67	111	18
M	74	113	21
M	75	113	18
M	69	113	22
M	73	114	20
M	69	127	32
M	70	114	23
M	73	120	25
M	75	117	24
M	65	113	21
M	67	111	19
F	66	0	13
F	73	0	27
F	65	0	15
F	71	0	18
F	74	0	23
F	75	0	20
F	67	0	18
F	64	0	17
F	65	0	18
F	72	0	19
F	68	0	18
F	71	0	20
F	74	0	24
F	69	0	19
M	67	114	22
M	68	119	25
M	69	114	19
M	68	111	21
M	66	118	25
M	70	115	21
M	71	122	23
M	68	115	24
M	64	111	20
M	71	115	18
M	74	112	21
M	73	115	20
M	64	117	20
M	66	113	23
M	66	108	19
M	67	108	19
M	64	118	21
M	64	111	17
F	71	0	21
M	70	116	23
M	65	108	19
M	69	111	19
M	69	108	19
M	66	112	20
M	62	113	23
M	62	101	15
M	67	102	14
M	62	110	20
M	69	115	25
M	71	112	19
M	71	118	23
M	73	107	17
M	65	115	20
F	64	0	18
F	72	0	20
F	72	0	22
F	73	0	27
F	68	0	18
F	68	0	22
F	68	0	28
F	68	0	17
F	70	0	23
F	69	0	25
F	72	0	17
F	73	0	20
M	76	120	25
M	74	113	23
M	73	113	26
M	74	123	28
M	71	118	23
M	73	115	21
M	69	114	22
M	72	109	19
M	76	114	22
F	73	0	23
F	75	0	24
F	76	0	21
F	66	0	18
F	65	0	18
F	74	0	21
F	76	0	21
M	66	108	18
F	70	0	20
M	72	112	20
M	68	117	23
M	68	103	16
M	74	113	20
F	71	0	21
M	75	110	22
M	74	112	20
M	74	116	21
M	77	119	23
M	75	130	29
M	74	117	21
M	73	108	17
M	75	115	21
M	72	122	22
M	76	112	21
M	67	116	21
M	74	123	30
M	73	118	27
M	74	119	22
M	69	113	18
M	76	120	20
M	77	116	21
M	72	118	20
M	66	112	19
M	68	116	21
M	70	110	19
F	67	0	25
F	75	0	19
F	77	0	21
F	67	0	22
F	69	0	19
F	70	0	28
F	67	0	30
F	77	0	21
F	74	0	25
F	67	0	25
F	69	0	24
F	74	0	21
F	68	0	19
F	68	0	28
F	67	0	19
M	72	109	17
M	70	126	27
M	66	110	19
M	67	108	17
M	74	120	22
M	66	115	20
M	72	109	18
M	66	114	21
M	65	112	18
M	70	119	21
M	74	116	20
M	67	119	21
F	69	0	22
F	67	0	24
F	69	0	23
F	74	0	26
F	70	0	20
F	67	0	23
F	70	0	32
F	67	0	18
F	67	0	19
F	70	0	21
F	75	0	22
F	67	0	19
M	66	109	19
M	68	114	24
F	72	0	17
F	72	0	19
F	65	0	21
F	69	0	21
M	68	116	21
F	66	0	17
F	68	0	19
F	68	0	22
F	66	0	18
M	71	119	21
F	69	0	20
M	66	119	23
F	72	0	26
F	65	0	19
F	68	0	21
F	69	0	18
M	71	121	22
F	67	0	17
F	73	0	19
M	66	113	21
F	74	0	26
F	66	0	13
F	76	0	21
F	68	0	21
M	76	119	20
F	73	0	21
F	76	0	18
F	70	0	22
M	73	123	27
F	76	0	20
M	76	107	18
M	66	123	24
F	67	0	21
M	72	118	22
F	72	0	20
F	74	0	20
M	67	117	22
M	73	117	21
M	71	103	15
M	70	112	20
F	65	0	18
M	69	114	21
M	72	114	19
M	67	107	16
M	69	111	22
F	73	0	21
M	65	112	20
F	65	0	15
F	70	0	19
F	74	0	21
F	68	0	24
F	68	0	30
M	73	114	22
M	66	119	23
M	69	125	27
M	67	105	15
M	70	117	20
F	67	0	18
M	72	111	18
M	67	109	16
M	72	117	18
M	73	117	20
M	66	112	16
F	72	0	18
F	66	0	20
F	76	0	28
F	71	0	18
F	69	0	19
F	69	0	21
F	74	0	21
F	68	0	19
F	71	0	19
F	74	0	27
F	75	0	24
F	67	0	22
M	76	122	21
M	68	111	18
M	69	122	23
M	71	112	18
M	67	123	27
M	70	104	15
F	66	0	24
F	67	0	23
F	72	0	24
F	69	0	19
F	75	0	21
F	71	0	24
F	67	0	16
F	67	0	19
F	67	0	16
M	66	115	20
M	70	115	20
M	68	114	19
M	72	121	22
M	70	119	22
M	67	113	18
M	77	111	19
M	67	117	18
M	71	121	21
M	74	102	20
F	72	0	25
F	63	0	23
F	75	0	21
F	61	0	19
F	70	0	20
F	70	0	18
F	66	0	21
F	68	0	22
F	72	0	19
F	68	0	20
F	70	0	18
F	72	0	23
F	69	0	24
F	69	0	19
F	69	0	22
M	63	117	22
M	70	117	22
M	70	118	20
M	63	109	18
M	67	109	18
M	69	116	20
M	68	116	21
M	63	106	21
M	64	112	19
M	68	125	24
M	70	119	20
M	71	116	20
M	62	113	20
F	73	0	28
F	71	0	20
F	67	0	16
F	71	0	20
F	66	0	20
F	71	0	21
F	63	0	22
F	74	0	25
F	69	0	19
F	69	0	22
F	74	0	18
F	77	0	20
F	76	0	25
F	76	0	20
F	77	0	20
F	77	0	20
F	77	0	19
F	68	0	17
F	77	0	24
F	73	0	17
M	65	107	17
F	65	0	17
F	74	0	20
F	68	0	22
F	70	0	21
M	64	110	19
